IDs: Names
2028: Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)
2029: Benzaldehyde
2030: Benzoate
2031: Benzyl alcohol
2032: beta-alanine (3-Aminopropionate)
2033: Betaine (Glycine betaine)
2034: Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)
2035: Biotin (Vitamin B7)
2036: Butanol
2037: Butylamine
2038: Butyrate
2040: Cadaverine
2041: Caproate (Hexanoate)
2042: Carbon monoxide (CO)
2043: Cellobiose
2044: Cellotetraose (Cellohexaose, Cellopentaose, Cellotriose)
2045: Cellulose
2046: Chenodeoxycholic acid (Chenodeoxycholate)
2047: Chitin
2048: Cholecalciferol (Vitamin D3)
2049: Cholic acid (Cholate)
2050: Choline
2051: Chondroitin 4-sulfate (Chondroitin 6-sulfate)
2052: cis-Aconitate (trans-Aconitate, trans-Aconitic acid)
2053: Citrate
2055: CO2
2056: Crotonate (2-Butenoate, 2-Butenoic acid, Crotonic acid, 3-Methylacrylic acid)
2058: Cytidine
2059: Cytosine
2060: D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)
2061: D-Fructose (Fructose)
2062: D-Fructuronate
2063: D-Galactosamine (Galactosamine)
2064: D-Galactose
2065: D-Galacturonate
2066: D-Gluconate (D-Gluconic acid) (Gluconate)
2067: D-Glucosamine (Glucosamine)
2068: D-Glucose (Glucose)
2069: D-Glucuronic acid (D-Glucuronate)
2070: D-Lyxose (L-Lyxose)
2071: D-Mannitol (Mannitol)
2072: D-Mannose (Mannose)
2073: D-Psicose
2074: D-Ribose (Ribose)
2075: D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)
2076: D-Tagatose
2077: D-Tagaturonate
2078: D-Turanose
2079: D-Xylose (Xylose)
2080: D-Xylulose (Xylulose, L-Xylulose)
2081: Deoxycholic acid
2082: Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)
2083: Dichloromethane (Methylene chloride)
2084: Dimethyl sulfide (Methyl sulfide)
2085: Dimethylamine
2086: DNA RNA Polynucleotide
2087: Dodecanoate (Lauric acid, Laureate)
2088: Erythritol
2089: Ethanol
2090: Ethanolamine (Phosphatidylethanolamine)
2091: Folic acid (Folate, Vitamin B9)
2092: Formaldehyde
2093: Formate
2094: FOS (Fructooligosaccharide)
2095: Fructan (Inulin, Levan)
2096: Galactan
2097: Galactitol (Dulcitol)
2098: Glycerol
2099: Glycochenodeoxycholate
2100: Glycocholate
2101: Glycodeoxycholate
2102: Glycolate
2103: Glycolithocholate
2104: Glyoxylate (Glyoxylic acid, Glyoxalate)
2105: Guanine
2106: Guanosine
2107: H2 (Hydrogen)
2108: H2O2
2109: H2S (HS-)
2110: Hemicellulose
2111: Histamine
2112: Hyaluronan (Hyaluronate, Hyaluronic acid)
2114: Indole
2115: Indole-3-acetate (Indoleacetate)
2116: Inosine
2117: Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)
2118: Isethionate
2119: Isobutyrate (2-Methylpropanoic acid)
2120: Isomaltose
2121: Isopropanol (2-Propanol)
2122: Isovalerate (3-Methylbutanoic acid)
2123: Itaconate
2125: L-Alanine (D-Alanine, Alanine)
2126: L-Arabitol (L-Arabinitol, D-Arabitol)
2127: L-Arginine (Arginine)
2128: L-Asparagine (Asparagine)
2129: L-Aspartate (Aspartate, D-Aspartate)
2130: L-Carnitine (D-Carnitine)
2131: L-Cysteine (Cysteine, D-Cysteine)
2132: L-Fucose
2133: L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)
2134: L-Glutamine (D-Glutamine, Glutamine)
2135: L-Glycine (Glycine)
2136: L-Histidine (Histidine)
2137: L-Homoserine
2138: L-Idonate
2139: L-iduronate
2140: L-Isoleucine (Isoleucine)
